,id,ost,branche,filter,gruend,zusamm,zusamm10,geschl,geschl10,absatz,um,ex,exno,bges,pd,pz,pa,pn,pdentw,umneu,umunw,mneu,mneup,pzentw,rek,rekp,iafetz,iafue,iavfetz,iavfue,iamstz,iams,iaewtz,iaew,iawstz,iamatz,iapgtz,iasotz,iaso,iages,iainv,iagese,iagesep,fue,fuekon,fuebab,fuebso,inaus1,inaus2,inaus3,inaus4,inaus5,inaus6,inaus7,inaus8,inaus9,oeff,foeinf1,foeinf2,foeinf3,foeinf4,foeinf5,foeinf6,foeinf7,foeinf8,foeinf9,foeinf10,foeinf11,foeprtz1,foeprtz2,foeprtz3,foeprtz4,foeprtz5,foepr1,foepr2,foepr3,foepr4,foepr5,foezw1,foezw2,foezw3,foezw4,foezw5,foeaus1,foeaus2,foeaus3,foeaus4,foeaus5,foeaus6,koop,kod1,kod2,kod3,kod4,kod5,kod6,kod7,kod8,koa1,koa2,koa3,koa4,koa5,koa6,koa7,koa8,info1,info2,info3,info4,info5,info6,info7,info8,info9,info10,info11,info12,hema,hemb,hemc,hemd,noin1,noin2,noin3,hemm1,hemm2,hemm3,hemm4,hemm5,hemm6,hemm7,hemm8,hemm9,patent,patok,schutz1,schutz2,schutz3,schutz4,schutz5,schutz6,schutz7,schu1,schu2,schu3,schu4,schu5,schu6,schu7,aktiv1,aktiv2,aktiv3,aktiv4,aktiv5,bhsp,bfsp,bapp,bsop,frauen,senior,bgese,bhse,bgesep,bhsep,bkost,wb,wbno,inv,invno,invi,invino,mkost
1742,1743.0,NBL,ErnaehrTabak,nein,nein,nein,,nein,,national-lokal,0.5241466,0.0,ja,9.528306,nein,nein,ja,ja,,,,,,,,,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,0.0,0.0,0.0,,keine,,0.0,nie,,,,,,,,,,,,ja,,,,,,,,,,,,ja,nein,nein,ja,nein,mittel,,,mittel,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,nein,nein,nein,ja,x=0,75<=x<=100,10<=x<15,10<=x<15,50.0,10.0,3.0,2.0,-10.0,0.0,,0.001029892,nein,0.03336546,nein,0.00279773,nein,
1743,1744.0,ABL,GHandel,ja,nein,nein,,nein,,national-lokal,11.013954,0.0,ja,58.29963,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,ja,ja,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,0<x<5,75<=x<=100,5<=x<10,10<=x<15,45.0,3.0,2.0,2.0,0.0,0.0,2.304042,0.0026786998,nein,0.14709902,nein,0.09717632,nein,
1744,1745.0,NBL,ErnaehrTabak,nein,,,,,,ueberregional,24.910566,1.0223134,nein,83.43627,nein,ja,nein,ja,,,,,,,,,nein,0.0,ja,0.27881393,ja,,nein,0.0,nein,nein,ja,1.0,1.7877126,8.691101,,fallen,-60.0,6.9287252,abundzu,,,nein,niedrig,hoch,hoch,hoch,hoch,hoch,hoch,mittel,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,niedrig,mittel,niedrig,hoch,niedrig,niedrig,nein,nein,nein,niedrig,niedrig,,nein,nein,nein,nein,nein,nein,nein,niedrig,niedrig,nein,nein,mittel,nein,nein,niedrig,niedrig,nein,nein,nein,ja,nein,nein,ja,nein,nein,,mittel,,,hoch,,,nein,ja,ja,ja,ja,0<x<5,20<=x<30,0<x<5,50<=x<75,48.0,8.0,2.0,2.0,0.0,0.0,2.1729918,0.010219643,nein,10.480657,nein,0.08295567,nein,23.518114
1745,1746.0,NBL,Wohnung/Vermietung,ja,nein,,,,,national-lokal,0.69424736,,,3.9126637,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,ja,,,,,,,,,,,,nein,nein,,,,,,,,,,,,,,,,,ja,,ja,30<=x<50,50<=x<75,x=0,x=0,80.0,nein,3.0,2.0,-40.0,0.0,0.11267625,0.0024880366,nein,0.01096309,nein,,,
1746,1747.0,NBL,Bank/Vers,nein,nein,nein,,nein,,national-lokal,,0.0,ja,7.6117826,ja,nein,nein,nein,,,,,,,,,nein,0.0,nein,0.0,ja,0.0026676029,ja,0.00055960706,nein,nein,nein,0.0,0.0,0.008730816,,gleich,0.0,0.0,nie,,,nein,nein,niedrig,nein,nein,nein,nein,nein,mittel,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,mittel,nein,niedrig,niedrig,nein,niedrig,nein,nein,nein,hoch,nein,,nein,nein,nein,nein,nein,nein,nein,hoch,hoch,hoch,niedrig,mittel,niedrig,niedrig,mittel,niedrig,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,50<=x<75,50<=x<75,x=0,x=0,75.0,20.0,2.0,2.0,0.0,0.0,0.25395572,0.0,ja,0.025862223,nein,0.0022721735,nein,
1747,1748.0,NBL,GHandel,ja,nein,nein,,nein,,,2.0465877,,,8.745099,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,nein,nein,nein,mittel,hoch,hoch,nein,nein,nein,niedrig,hoch,mittel,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,nein,nein,x=0,75<=x<=100,x=0,x=0,36.0,9.0,,2.0,,0.0,0.18070687,0.0,ja,0.034535076,nein,0.003741547,nein,
1748,1749.0,ABL,EHandKfz,ja,nein,nein,,nein,,national-lokal,2.4615297,0.0,ja,9.964884,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,0.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,nein,ja,ja,,,,,mittel,hoch,,,hoch,,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,ja,nein,nein,nein,ja,x=0,75<=x<=100,20<=x<30,x=0,20.0,10.0,1.0,2.0,20.0,0.0,0.33431202,0.01023809,nein,0.06184838,nein,,,
1749,1750.0,ABL,ETechnik,nein,nein,nein,,nein,,international,82.68929,31.029518,nein,352.24673,nein,ja,nein,ja,,,,,,2.0,ja,15<=x<20,ja,0.25425005,nein,0.0,ja,3.5803206,nein,0.0,ja,ja,ja,1.0,0.41658872,5.1526985,4.353978,fallen,-60.0,0.26632363,abundzu,3.3972626,1.101494,nein,mittel,mittel,hoch,hoch,hoch,mittel,niedrig,mittel,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,mittel,mittel,niedrig,niedrig,niedrig,hoch,nein,niedrig,niedrig,niedrig,niedrig,,ja,nein,nein,ja,,,,mittel,hoch,niedrig,hoch,hoch,niedrig,niedrig,niedrig,nein,ja,ja,ja,ja,ja,ja,ja,ja,ja,hoch,mittel,hoch,hoch,mittel,mittel,hoch,ja,ja,ja,ja,nein,5<=x<10,20<=x<30,x=0,50<=x<75,28.0,11.0,3.0,2.0,0.0,2.0,18.108036,0.08459382,nein,4.3485117,nein,0.035318382,nein,40.4179
1750,1751.0,ABL,Bank/Vers,nein,nein,ja,ja,nein,,national-lokal,,0.0,ja,464.76547,ja,nein,nein,ja,zusammen,5<=x<10,75<=x<=100,nein,x=0,,,,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,ja,ja,1.0,0.025527148,0.01761958,,steigen,5.0,0.0,abundzu,,,niedrig,niedrig,niedrig,niedrig,nein,niedrig,niedrig,nein,mittel,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ja,ja,nein,nein,nein,ja,nein,nein,nein,,,,,,,,,niedrig,niedrig,,,,mittel,,,,,,mittel,nein,nein,nein,nein,nein,nein,nein,nein,niedrig,nein,niedrig,niedrig,niedrig,nein,mittel,mittel,nein,nein,nein,nein,nein,nein,nein,ja,ja,,,,,,mittel,mittel,nein,nein,ja,nein,nein,5<=x<10,75<=x<=100,5<=x<10,x=0,50.0,7.0,2.0,1.0,0.0,10.0,24.453548,0.30371585,nein,0.9282434,nein,1.0056177,nein,
1751,1752.0,ABL,HolzPapier,ja,nein,nein,,nein,,grenzueber.-lokal,1.2268373,0.0,ja,9.442561,nein,nein,nein,nein,,x=0,75<=x<=100,nein,x=0,,nein,x=0,nein,0.0,nein,0.0,nein,0.0,nein,0.0,nein,nein,nein,,0.0,0.0,0.0,,5.0,,nie,0.0,0.0,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nein,nein,nein,nein,nein,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,niedrig,nein,,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,,,,,,,,nein,nein,nein,ja,nein,30<=x<50,50<=x<75,10<=x<15,x=0,28.0,13.0,2.0,2.0,2.0,1.0,0.37648275,0.0,ja,0.009524973,nein,0.0,ja,0.62940323
1752,1753.0,ABL,GHandel,nein,nein,nein,,nein,,ueberregional,4.069423,,,13.793151,ja,nein,nein,nein,zusammen,,,,,,,,nein,0.0,nein,0.0,ja,0.009172603,nein,0.0,nein,ja,ja,1.0,0.008030694,0.008675555,,gleich,0.0,0.0,nie,,,hoch,mittel,mittel,nein,nein,nein,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,,,,,,,,,,,,,,,hoch,nein,hoch,hoch,hoch,nein,nein,nein,nein,niedrig,niedrig,,,,,,nein,nein,nein,niedrig,niedrig,mittel,nein,nein,nein,nein,hoch,nein,nein,nein,nein,ja,ja,nein,nein,nein,nein,,niedrig,niedrig,,,,,nein,nein,nein,ja,ja,5<=x<10,75<=x<=100,5<=x<10,x=0,60.0,13.0,1.0,2.0,5.0,0.0,0.668021,0.0,ja,0.012896847,nein,,,
